"main","pairing"
"COCONUT AND COCONUT MILK","kiwi"
"COCONUT AND COCONUT MILK","kumquats"
"COCONUT AND COCONUT MILK","lamb (e.g., Indian cuisine)"
"COCONUT AND COCONUT MILK","lemon"
"COCONUT AND COCONUT MILK","lemongrass"
"COCONUT AND COCONUT MILK","lentils (e.g., Indian cuisine)"
"COCONUT AND COCONUT MILK","lime, juice"
"COCONUT AND COCONUT MILK","lychee"
"COCONUT AND COCONUT MILK","macadamia nuts"
"COCONUT AND COCONUT MILK","Malaysian cuisine"
"COCONUT AND COCONUT MILK","mangoes"
"COCONUT AND COCONUT MILK","maple"
"COCONUT AND COCONUT MILK","mascarpone"
"COCONUT AND COCONUT MILK","milk"
"COCONUT AND COCONUT MILK","mint (e.g., Indian cuisine, etc.)"
"COCONUT AND COCONUT MILK","nutmeg"
"COCONUT AND COCONUT MILK","oats"
"COCONUT AND COCONUT MILK","orange, juice"
"COCONUT AND COCONUT MILK","papaya"
"COCONUT AND COCONUT MILK","passion fruit"
"COCONUT AND COCONUT MILK","peanuts"
"COCONUT AND COCONUT MILK","pepper, black"
"COCONUT AND COCONUT MILK","pineapple"
"COCONUT AND COCONUT MILK","pistachios"
"COCONUT AND COCONUT MILK","rice"
"COCONUT AND COCONUT MILK","rose water"
"COCONUT AND COCONUT MILK","rum, esp. dark"
"COCONUT AND COCONUT MILK","salads, fruit"
"COCONUT AND COCONUT MILK","salmon (e.g., Indian cuisine)"
"COCONUT AND COCONUT MILK","salt, kosher"
"COCONUT AND COCONUT MILK","sesame seeds"
"COCONUT AND COCONUT MILK","shellfish: shrimp, lobster"
"COCONUT AND COCONUT MILK","soups"
"COCONUT AND COCONUT MILK","sour cream"
"COCONUT AND COCONUT MILK","Southeast Asian cuisine"
"COCONUT AND COCONUT MILK","stews"
"COCONUT AND COCONUT MILK","SUGAR: brown, white"
"COCONUT AND COCONUT MILK","sweet potatoes"
"COCONUT AND COCONUT MILK","tea, green"
"COCONUT AND COCONUT MILK","Thai cuisine"
"COCONUT AND COCONUT MILK","tropical fruits"
"COCONUT AND COCONUT MILK","VANILLA"
"COCONUT AND COCONUT MILK","Vietnamese cuisine"
"COCONUT AND COCONUT MILK","vinegar, white wine"
"COCONUT AND COCONUT MILK","Flavor Affinities"
"COCONUT AND COCONUT MILK","coconut + apricot + ginger + green tea + lemongrass + rice + vanilla"
"COCONUT AND COCONUT MILK","coconut + honey + lime"
"COCONUT AND COCONUT MILK","coconut + lemongrass + vanilla"
"COCONUT AND COCONUT MILK","coconut + orange + vanilla"
"COCONUT AND COCONUT MILK","coconut milk + beef + ginger"
"COD","Weight: medium"
"COD","Volume: quiet"
"COD","Techniques: bake, boil, broil, cakes, deep-fry, fry, grill, poach, roast, sauté, steam"
"COD","anchovies"
"COD","bacon"
"COD","basil"
"COD","bay leaf"
"COD","beans: cannellini, green, navy, white"
"COD","bell peppers: red, green, yellow"
"COD","bouquet garni"
"COD","brandade"
"COD","brandy"
"COD","bread crumbs"
"COD","BUTTER, unsalted"
"COD","cabbage, savoy"
"COD","capers"
"COD","caraway seeds"
"COD","carrots"
"COD","cayenne"
"COD","celery"
"COD","cheese: Emmental, Gruyère, Swiss"
"COD","chervil"
"COD","chives"
"COD","cilantro"
"COD","coriander"
"COD","cream"
"COD","currants"
"COD","daikon"
"COD","eggplant, esp. Japanese"
"COD","eggs, hard-boiled"
"COD","endive"
"COD","English cuisine, esp. fish and chips"
"COD","fennel"
"COD","French cuisine, esp. Provençal"
"COD","garlic"
"COD","ginger"
"COD","ham: cured, Serrano"
"COD","leeks"
"COD","lemon, juice"
"COD","mayonnaise"
"COD","milk"
"COD","miso"
"COD","mushrooms, esp. cepes, portobello, shiitake"
"COD","mustard, Dijon"
"COD","New England cuisine"
"COD","oils: canola, corn, grapeseed, peanut"
"COD","olive oil"
"COD","olives: black, green"
"COD","onions"
"COD","orange: juice, zest"
"COD","paprika, sweet"
"COD","PARSLEY, FLAT-LEAF"
"COD","peas"
"COD","pepper: black, white"
"COD","pine nuts"
"COD","POTATOES, esp. red, red bliss"
"COD","prosciutto"
"COD","radishes"
"COD","risotto"
"COD","rosemary"
"COD","saffron"
"COD","sage"
"COD","salt:fleur de sel,kosher, sea"
"COD","sauces: hollandaise, tartar, tomato"
"COD","sausage, chorizo"
"COD","scallions"
"COD","shallots"
"COD","shellfish: clams, shrimp"
"COD","stocks: chicken, fish, mussels, veal, vegetable"
"COD","sugar"
"COD","tarragon"
"COD","thyme"
"COD","tomatoes"
"COD","truffles, black"
"COD","VINEGAR: balsamic, champagne, red wine, sherry, tarragon, white wine"
"COD","wine: dry white, red"
"COD","yuzu juice"
"COD","Flavor Affinities"
"COD","cod + capers + chives + lentils + potatoes"
"COD","cod + cepes (mushrooms) + garlic + lemon + potatoes"
"COD, BLACK","bell peppers, red"
"COD, BLACK","chile peppers, esp. red"
"COD, BLACK","chives"
"COD, BLACK","garlic"
"COD, BLACK","ginger"
"COD, BLACK","leeks"
"COD, BLACK","miso"
"COD, BLACK","onions"
"COD, BLACK","shiso"
"COD, BLACK","shrimp"
"COD, BLACK","soy sauce"
"COD, BLACK","sugar, brown"
"COD, SALT","Taste: salty"
"COD, SALT","Weight: medium"
"COD, SALT","Volume: moderate–loud"
"COD, SALT","artichoke hearts"
"COD, SALT","bay leaf"
"COD, SALT","beans, white"
"COD, SALT","bell peppers: green, red"
"COD, SALT","bread crumbs"
"COD, SALT","capers"
"COD, SALT","chile peppers"
"COD, SALT","cilantro"
"COD, SALT","cream"
"COD, SALT","French cuisine, esp. Provençal"
"COD, SALT","GARLIC"
"COD, SALT","greens, salad"
"COD, SALT","lemon, juice"
"COD, SALT","marjoram"
"COD, SALT","mint"
"COD, SALT","Old Bay seasoning"
"COD, SALT","OIL, canola"
"COD, SALT","olive oil"
"COD, SALT","olives, esp. black or kalamata"
"COD, SALT","onions"
"COD, SALT","paprika: hot, sweet"
"COD, SALT","parsley, flat-leaf"
"COD, SALT","pasta"
"COD, SALT","pepper: black, white"
"COD, SALT","potatoes"
"COD, SALT","saffron"
"COD, SALT","salt: kosher, sea"
"COD, SALT","scallions"
"COD, SALT","shallots"
"COD, SALT","shrimp"
"COD, SALT","sour cream"
"COD, SALT","stock, fish"
"COD, SALT","sugar"
"COD, SALT","Tabasco sauce"
"COD, SALT","thyme"
"COD, SALT","tomatoes"
"COD, SALT","vinegar: red wine, white wine"
"COD, SALT","wine, dry"
"COD, SALT","Worcestershire sauce"
"COD, SALT","Flavor Affinities"
"COD, SALT","salt cod + bay leaf + thyme + white wine vinegar"
"coffee / espresso","Taste: bitter"
"coffee / espresso","Weight: medium"
"coffee / espresso","Volume: moderate–loud"
"coffee / espresso","almonds"
"coffee / espresso","amaretto"
"coffee / espresso","anise"
"coffee / espresso","bananas"
"coffee / espresso","barbecue sauce"
"coffee / espresso","beverages"
"coffee / espresso","bourbon"
"coffee / espresso","brandy"
"coffee / espresso","caramel"
"coffee / espresso","cardamom"
"coffee / espresso","cheese, ricotta"
"coffee / espresso","cherries"
"coffee / espresso","chicken"
"coffee / espresso","chicory"
"coffee / espresso","CHOCOLATE, ESP. DARK, white"
"coffee / espresso","cinnamon"
"coffee / espresso","cloves"
"coffee / espresso","COCOA"
"coffee / espresso","coconut"
"coffee / espresso","cognac"
"coffee / espresso","CREAM"
"coffee / espresso","curry"
"coffee / espresso","custards"
"coffee / espresso","dates"
"coffee / espresso","fennel seeds"
"coffee / espresso","figs"
"coffee / espresso","game birds"
"coffee / espresso","gravy"
"coffee / espresso","ham (e.g., with red-eye gravy)"
"coffee / espresso","hazelnuts"
"coffee / espresso","honey"
"coffee / espresso","ice cream, vanilla"
"coffee / espresso","Irish whiskey"
"coffee / espresso","lamb"
"coffee / espresso","lemon"
"coffee / espresso","lime"
"coffee / espresso","liqueurs, coffee (e.g., Kahlúa, Tía Maria)"
"coffee / espresso","macadamia nuts"
"coffee / espresso","maple syrup"
"coffee / espresso","milk, including sweetened, condensed"
"coffee / espresso","nutmeg"
"coffee / espresso","NUTS"
"coffee / espresso","oats"
"coffee / espresso","orange"
"coffee / espresso","pears"
"coffee / espresso","pecans"
"coffee / espresso","persimmons"
"coffee / espresso","pork"
"coffee / espresso","prunes"
"coffee / espresso","raisins"
"coffee / espresso","rum"
"coffee / espresso","star anise"
"coffee / espresso","SUGAR: brown, white"
"coffee / espresso","VANILLA"
"coffee / espresso","vinegar, balsamic"
"coffee / espresso","Flavor Affinities"
"coffee / espresso","coffee + bourbon + cream"
"coffee / espresso","coffee + caramel + chocolate"
"coffee / espresso","coffee + cinnamon + cloves + orange"
"coffee / espresso","coffee + cinnamon + cream + lemon + sugar"
"coffee / espresso","coffee + mascarpone + rum + sugar + vanilla"
"COGNAC","apples and apple cider"
"COGNAC","beef (e.g., filet mignon)"
"COGNAC","chicken"
"COGNAC","chocolate"
"COGNAC","cream"
"COGNAC","foie gras"
"COGNAC","mushrooms"
"COGNAC","mustard, esp. Dijon"
"COGNAC","pepper: black, green"
"COGNAC","pork"
"COGNAC","prunes"
"COGNAC","raisins"
"COGNAC","turkey"
"COGNAC","vanilla"
"COGNAC","vinegar, cider"
"COOLING","Function: cooling"
"COOLING","asparagus"
"COOLING","avocados"
"COOLING","berries"
"COOLING","buttermilk"
"COOLING","cucumbers"
"COOLING","figs, fresh"
"COOLING","fruits, esp. sweet (e.g., cherries, grapes)"
"COOLING","herbs, cooling (e.g., cilantro, honeysuckle, lavender, lemon balm, mint, peppermint)"
"COOLING","lettuce"
"COOLING","melon"
"COOLING","salads"
"COOLING","spices, cooling (e.g., cardamom, coriander, fennel)"
"COOLING","water"
"COOLING","watercress"
"COOLING","watermelon"
"COOLING","yogurt"
"COOLING","zucchini"
"COOLING","Flavor Affinities"
"COOLING","cucumbers + mint + yogurt"
"CORIANDER","Taste: sour, pungent, astringent"
"CORIANDER","Function: cooling"
"CORIANDER","Weight: light–medium"
"CORIANDER","Volume: moderate–loud"
"CORIANDER","Tips: Add near the end of cooking."
"CORIANDER","allspice"
"CORIANDER","anise"
"CORIANDER","apples"
"CORIANDER","baked goods (e.g., cakes, cookies, pies)"
"CORIANDER","basil"
"CORIANDER","beans"
"CORIANDER","beef"
"CORIANDER","cardamom"
"CORIANDER","carrots"
"CORIANDER","cayenne"
"CORIANDER","chicken"
"CORIANDER","chickpeas"
"CORIANDER","chile peppers (e.g., fresh green)"
"CORIANDER","chili"
"CORIANDER","chutneys"
"CORIANDER","cilantro"
"CORIANDER","cinnamon"
"CORIANDER","citrus and citrus zest"
"CORIANDER","cloves"
"CORIANDER","coconut and coconut milk"
"CORIANDER","corn"
"CORIANDER","crab, esp. boiled"
"CORIANDER","cumin"
"CORIANDER","curries (e.g., Indian cuisine)"
"CORIANDER","curry powder"
"CORIANDER","desserts"
"CORIANDER","eggs"
"CORIANDER","fennel"
"CORIANDER","fennel seeds"
"CORIANDER","fish"
"CORIANDER","fruits, esp. autumn and dried"
"CORIANDER","garam masala"
"CORIANDER","garlic"
"CORIANDER","ginger"
"CORIANDER","gingerbread"
"CORIANDER","grapefruit"
"CORIANDER","ham"
"CORIANDER","harissa"
"CORIANDER","hot dogs"
"CORIANDER","Indian cuisine"
"CORIANDER","lamb"
"CORIANDER","Latin American cuisine"
"CORIANDER","lentils"
"CORIANDER","mace"
"CORIANDER","meats"
"CORIANDER","Mediterreanean cuisine"
"CORIANDER","Mexican cuisine"
"CORIANDER","Middle Eastern cuisine"
"CORIANDER","mint"
"CORIANDER","Moroccan cuisine"
"CORIANDER","mushrooms"
"CORIANDER","North African cuisine"
"CORIANDER","North American cuisine"
"CORIANDER","nutmeg"
"CORIANDER","nuts"
"CORIANDER","olive oil"
"CORIANDER","onions"
"CORIANDER","orange: juice, zest"
"CORIANDER","pastries"
"CORIANDER","pears"
"CORIANDER","pepper, black"
"CORIANDER","pickles"
"CORIANDER","plums"
"CORIANDER","pork"
"CORIANDER","potatoes"
"CORIANDER","poultry"
"CORIANDER","quince"
"CORIANDER","rice"
"CORIANDER","saffron"
"CORIANDER","salmon"
"CORIANDER","sausages"
"CORIANDER","sesame seeds"
"CORIANDER","shellfish"
"CORIANDER","soups, esp. cream-based"
"CORIANDER","Southeast Asian cuisine"
"CORIANDER","Southwestern cuisine"
"CORIANDER","spinach"
"CORIANDER","stews (e.g., chicken)"
"CORIANDER","stocks (e.g., fish)"
"CORIANDER","stuffing"
"CORIANDER","sugar"
"CORIANDER","tomatoes and tomato sauces"
"CORIANDER","turkey"
"CORIANDER","turmeric"
"CORIANDER","Vietnamese cuisine"
"CORIANDER","Flavor Affinities"
"CORIANDER","coriander + cardamom + cinnamon + clove"
"CORIANDER","coriander + cayenne + cumin + garlic"
"CORIANDER","coriander + chile peppers + mustard + black pepper"
"CORIANDER","coriander + cumin + curry"
"CORIANDER","coriander + fish + garlic + olive oil + tomatoes"
"CORN","Season: summer"
"CORN","Taste: sweet"
"CORN","Function: heating"
"CORN","Weight: medium"
"CORN","Volume: moderate"
"CORN","Techniques: boil, grill, roast, sauté, steam"
"CORN","bacon"
"CORN","BASIL: sweet, lemon"
"CORN","bay leaf"
"CORN","beans, esp. lima"
"CORN","béchamel sauce"
"CORN","beef"
"CORN","BELL PEPPERS: red, green"
"CORN","BUTTER, UNSALTED"
"CORN","buttermilk"
"CORN","caraway seed"
"CORN","carrots"
"CORN","cayenne"
"CORN","celery"
"CORN","cheese: cheddar, Colby, Cotija, feta, Monterey Jack"
"CORN","chervil"
"CORN","CHILE PEPPERS: chipotle, jalapeño, serrano"
"CORN","chili powder"
"CORN","chili sauce"
"CORN","Chinese cuisine"
"CORN","chives"
"CORN","cilantro"
"CORN","clams"
"CORN","corn"
"CORN","cornmeal"
"CORN","crab"
"CORN","CREAM, esp. heavy"
"CORN","crème fraîche"
"CORN","cumin"
"CORN","curry powder"
"CORN","dill"
"CORN","eggs"
"CORN","fava beans"
"CORN","fennel"
"CORN","fish, salmon"
"CORN","GARLIC"
"CORN","ginger, fresh"
"CORN","ham"
"CORN","leeks"
"CORN","lemon, juice"
"CORN","lemon thyme"
"CORN","lime, juice"
"CORN","lobster"
"CORN","lovage"
"CORN","maple syrup"
"CORN","marjoram"
"CORN","mascarpone"
"CORN","Mexican cuisine"
"CORN","milk"
"CORN","mirepoix"
"CORN","MUSHROOMS, esp. chanterelle, oyster, shiitake, other wild"
"CORN","mustard"
"CORN","New England cuisine"
"CORN","nutmeg"
"CORN","OIL: canola, peanut, vegetable"
"CORN","OLIVE OIL"
"CORN","ONIONS: red, Spanish, yellow"
"CORN","oregano"
"CORN","pancetta"
"CORN","paprika"
"CORN","parsley"
"CORN","pasta"
"CORN","PEPPER: BLACK, WHITE"
"CORN","pesto"
"CORN","polenta"
"CORN","potatoes"
"CORN","poultry"
"CORN","risottos"
"CORN","rosemary"
"CORN","saffron"
"CORN","sage"
"CORN","salads, green"
"CORN","salmon"
"CORN","salsas"
"CORN","SALT: kosher, sea"
"CORN","scallions"
"CORN","scallops"
"CORN","shallots"
"CORN","sherry, dry"
"CORN","shiso"
"CORN","Southern cuisine"
"CORN","Southwestern cuisine"
"CORN","squash, esp. summer"
"CORN","star anise"
"CORN","STOCKS: chicken, vegetable"
"CORN","sugar"
"CORN","tarragon"
"CORN","thyme"
"CORN","tomatoes"
"CORN","tortillas, corn"
"CORN","vermouth"
"CORN","vinaigrette"
"CORN","vinegar: cider, white wine"
"CORN","wine, dry white"
"CORN","Flavor Affinities"
"CORN","corn + bell pepper + jalapeño chile + cilantro + tarragon"
"CORN","corn + butter + salt"
"CORN","corn + cayenne + lime + salt"
"CORN","corn + cilantro + shrimp"
"CORNISH GAME HENS","cardamom"
"CORNISH GAME HENS","cayenne"
"CORNISH GAME HENS","cinnamon"
"CORNISH GAME HENS","cloves"
"CORNISH GAME HENS","cumin, esp. toasted"
"CORNISH GAME HENS","garam masala"
"CORNISH GAME HENS","garlic"
"CORNISH GAME HENS","ginger"
"CORNISH GAME HENS","lemon"
"CORNISH GAME HENS","oil, canola"
"CORNISH GAME HENS","onions"
"CORNISH GAME HENS","paprika"
"CORNISH GAME HENS","pepper, black"
"CORNISH GAME HENS","salt"
"CORNISH GAME HENS","tomatoes and tomato paste"
"CORNISH GAME HENS","turmeric"
"CORNISH GAME HENS","yogurt"
"COUSCOUS","Weight: light"
"COUSCOUS","Volume: quiet–moderate"
"COUSCOUS","Techniques: steep"
"COUSCOUS","African (North) cuisine"
"COUSCOUS","apricots, dried"
"COUSCOUS","basil"
"COUSCOUS","bell peppers, esp. red"
"COUSCOUS","butter"
"COUSCOUS","cabbage"
"COUSCOUS","carrots"
"COUSCOUS","cayenne"
"COUSCOUS","chervil"
"COUSCOUS","chicken"
"COUSCOUS","chickpeas"
"COUSCOUS","cilantro"
"COUSCOUS","cumin"
"COUSCOUS","fish (e.g., snapper)"
"COUSCOUS","ginger"
"COUSCOUS","lemon: juice, preserved, zest"
"COUSCOUS","Middle Eastern cuisine"
"COUSCOUS","mint"
"COUSCOUS","Moroccan cuisine"
"COUSCOUS","olive oil"
"COUSCOUS","olives"
"COUSCOUS","onions"
"COUSCOUS","parsley, flat-leaf"
"COUSCOUS","pepper, black"
"COUSCOUS","raisins"
"COUSCOUS","saffron"
"COUSCOUS","salt: kosher, sea"
"COUSCOUS","sausage, merguez"
"COUSCOUS","scallions"
"COUSCOUS","stocks: chicken, fish, vegetable,"
"COUSCOUS","tomatoes and tomato juice"
"COUSCOUS","turnips"
"COUSCOUS","zucchini"
"COUSCOUS, ISRAELI","Weight: medium–heavy"
"COUSCOUS, ISRAELI","Volume: light–moderate"
"COUSCOUS, ISRAELI","olive oil"
"COUSCOUS, ISRAELI","pepper, white"
"COUSCOUS, ISRAELI","pesto"
"COUSCOUS, ISRAELI","shallots"
"COUSCOUS, ISRAELI","stock, chicken"
"CRAB","Season: summer"
"CRAB","Taste: sweet"
"CRAB","Weight: light"
"CRAB","Volume: quiet"
"CRAB","Techniques: bake, boil, broil, grill, steam"
"CRAB","aioli"
"CRAB","apples"
"CRAB","artichokes"
"CRAB","asparagus"
"CRAB","AVOCADOS"
"CRAB","bacon"
"CRAB","basil"
"CRAB","bay leaf"
"CRAB","bell peppers, esp. green, red, yellow"
"CRAB","bread crumbs / panko"
"CRAB","butter, unsalted"
"CRAB","carrots and carrot juice"
"CRAB","cauliflower"
"CRAB","caviar"
"CRAB","cayenne"
"CRAB","celery"
"CRAB","celery root"
"CRAB","celery salt"
"CRAB","chervil"
"CRAB","chile peppers: jalapeño, Scotch bonnet pepper, Thai"
"CRAB","chili sauce"
"CRAB","Chinese cuisine"
"CRAB","CHIVES"
"CRAB","cilantro"
"CRAB","coconut and coconut milk"
"CRAB","coriander"
"CRAB","corn"
"CRAB","crab roe"
"CRAB","cream"
"CRAB","crème fraîche"
"CRAB","cucumber"
"CRAB","cumin"
"CRAB","curry"
"CRAB","custard"
"CRAB","dill"
"CRAB","eggplant"
"CRAB","eggs"
"CRAB","endive, Belgian"
"CRAB","fennel"
"CRAB","fish: pike, sole"
"CRAB","fish sauce, Thai"
"CRAB","garlic"
"CRAB","ginger"
"CRAB","grapefruit"
"CRAB","honey"
"CRAB","LEMON: juice, zest"
"CRAB","lemongrass"
"CRAB","lemon thyme"
"CRAB","lime: juice, zest"
"CRAB","lobster"
"CRAB","mango"
"CRAB","mascarpone"
"CRAB","MAYONNAISE"
"CRAB","melon: cantaloupe, honeydew"
"CRAB","mint"
"CRAB","mushrooms (e.g., button, cremini, shiitakes)"
"CRAB","mustard, Dijon"
"CRAB","mustard powder"
"CRAB","nutmeg"
"CRAB","OIL: canola, grapeseed, peanut, sesame, vegetable"
"CRAB","olive oil"
"CRAB","Old Bay seasoning"
"CRAB","ONIONS: green, red, spring, sweet, white"
"CRAB","orange: juice, zest"
"CRAB","paprika, esp. sweet"
"CRAB","PARSLEY, FLAT-LEAF"
"CRAB","peas, green"
"CRAB","PEPPER: black, white"
"CRAB","pineapple"
"CRAB","pine nuts"
"CRAB","ponzu sauce"
"CRAB","potatoes"
"CRAB","radishes"
"CRAB","saffron"
"CRAB","SALT: kosher, sea"
"CRAB","scallions"
"CRAB","sesame seeds"
"CRAB","shallots"
"CRAB","sherry, dry"
"CRAB","shiso"
"CRAB","SHRIMP"
"CRAB","snow peas"
"CRAB","sour cream"
"CRAB","soy sauce"
"CRAB","spinach"
"CRAB","stocks: chicken, vegetable"
"CRAB","sugar"
"CRAB","Tabasco sauce"
"CRAB","tamarind"
"CRAB","tarragon"
"CRAB","tartar sauce"
"CRAB","thyme"
"CRAB","TOMATOES: fresh, sun-dried"
"CRAB","vinaigrette, esp. citrus"
"CRAB","vinegar: balsamic, champagne, red wine, sherry"
"CRAB","watercress"
"CRAB","yogurt"
"CRAB","Flavor Affinities"
"CRAB","crab + aioli + cilantro + jalapeño chile"
"CRAB","crab + almonds + avocado"
"CRAB","crab + avocado + cilantro + mango"
"CRAB","crab + avocado + grapefruit"
"CRAB","crab + corn + green tomatoes"
"CRAB","crab + cucumber + lime + mint"
"CRAB","crab + ginger + lime"
"CRAB","crab + lime + mint"
"CRAB","crab + mango + raspberry vinegar"
"CRAB","crab + black pepper + snow peas"
"CRAB","crab + saffron + shallots"
"CRAB, SOFT-SHELL","Season: spring–summer"
"CRAB, SOFT-SHELL","Taste: sweet"
"CRAB, SOFT-SHELL","Weight: light–medium"
"CRAB, SOFT-SHELL","Volume: quiet–moderate"
"CRAB, SOFT-SHELL","Techniques: deep-fry, grill, pan roast, sauté, tempura"
"CRAB, SOFT-SHELL","almonds"
"CRAB, SOFT-SHELL","arrowroot"
"CRAB, SOFT-SHELL","arugula"
"CRAB, SOFT-SHELL","asparagus"
"CRAB, SOFT-SHELL","avocado"
"CRAB, SOFT-SHELL","bacon"
"CRAB, SOFT-SHELL","basil"
"CRAB, SOFT-SHELL","bell peppers, red"
"CRAB, SOFT-SHELL","broccoli rabe"
"CRAB, SOFT-SHELL","brown butter sauce"
"CRAB, SOFT-SHELL","butter: clarified, unsalted"
"CRAB, SOFT-SHELL","capers"
"CRAB, SOFT-SHELL","cayenne"
"CRAB, SOFT-SHELL","chervil"
"CRAB, SOFT-SHELL","chile peppers, jalapeño"
"CRAB, SOFT-SHELL","chili powder"
"CRAB, SOFT-SHELL","chives"
"CRAB, SOFT-SHELL","coleslaw"
"CRAB, SOFT-SHELL","couscous, Israeli"
"CRAB, SOFT-SHELL","cream"
"CRAB, SOFT-SHELL","crème fraîche"
"CRAB, SOFT-SHELL","cucumbers"
"CRAB, SOFT-SHELL","daikon"
"CRAB, SOFT-SHELL","dill"
"CRAB, SOFT-SHELL","fennel"
"CRAB, SOFT-SHELL","garlic"
"CRAB, SOFT-SHELL","ginger (e.g., pickled)"
"CRAB, SOFT-SHELL","grapefruit"
"CRAB, SOFT-SHELL","leeks"
"CRAB, SOFT-SHELL","LEMON, JUICE"
"CRAB, SOFT-SHELL","lime: juice, zest"
"CRAB, SOFT-SHELL","mayonnaise"
"CRAB, SOFT-SHELL","mushrooms (e.g., shiitakes)"
"CRAB, SOFT-SHELL","mustard, Dijon"
"CRAB, SOFT-SHELL","nori"
"CRAB, SOFT-SHELL","OIL: canola, peanut, vegetable"
"CRAB, SOFT-SHELL","olive oil"
"CRAB, SOFT-SHELL","onions, red"
"CRAB, SOFT-SHELL","orange, juice"
"CRAB, SOFT-SHELL","paprika"
"CRAB, SOFT-SHELL","parsley, flat-leaf"
"CRAB, SOFT-SHELL","peas, sugar"
"CRAB, SOFT-SHELL","PEPPER: black, white"
"CRAB, SOFT-SHELL","pesto"
"CRAB, SOFT-SHELL","potatoes, esp. new"
"CRAB, SOFT-SHELL","rémoulade sauce"
"CRAB, SOFT-SHELL","sake"
"CRAB, SOFT-SHELL","SALT: kosher, sea"
"CRAB, SOFT-SHELL","scallions"
"CRAB, SOFT-SHELL","scallops"
"CRAB, SOFT-SHELL","shallots"
"CRAB, SOFT-SHELL","shiso leaf"
"CRAB, SOFT-SHELL","shrimp"
"CRAB, SOFT-SHELL","sorrel"
"CRAB, SOFT-SHELL","soy sauce"
"CRAB, SOFT-SHELL","stock, fish"
"CRAB, SOFT-SHELL","Tabasco sauce"
"CRAB, SOFT-SHELL","tarragon, fresh"
"CRAB, SOFT-SHELL","tartar sauce"
"CRAB, SOFT-SHELL","thyme"
"CRAB, SOFT-SHELL","tomatoes"
"CRAB, SOFT-SHELL","vinaigrette"
"CRAB, SOFT-SHELL","vinegar: balsamic, champagne, white wine"
"CRAB, SOFT-SHELL","wine, dry white"
"CRAB, SOFT-SHELL","zucchini"
"CRAB, SOFT-SHELL","Flavor Affinities"
"CRAB, SOFT-SHELL","soft-shell crab + arugula + tartar sauce"
"CRAB, SOFT-SHELL","soft-shell crab + asparagus + capers + garlic + lemon + potatoes"
"CRAB, SOFT-SHELL","soft-shell crab + broccoli rabe + brown butter"
"CRAB, SOFT-SHELL","soft-shell crab + cabbage + mustard"
"CRAB, SOFT-SHELL","soft-shell crab + lemon + parsley"
"CRAB, SOFT-SHELL","soft-shell crab + orange + parsley"
"CRANBERRIES","Season: autumn–midwinter"
"CRANBERRIES","Taste: sour"
"CRANBERRIES","Weight: light–medium"
"CRANBERRIES","Volume: loud"
"CRANBERRIES","Techniques: boil"
"CRANBERRIES","allspice"
"CRANBERRIES","almonds"
"CRANBERRIES","apples"
"CRANBERRIES","apricots"
"CRANBERRIES","baked goods"
"CRANBERRIES","cheese, goat"
"CRANBERRIES","chicken"
"CRANBERRIES","chile peppers, jalapeño"
"CRANBERRIES","chocolate: dark, white"
"CRANBERRIES","cinnamon"
"CRANBERRIES","cloves"
"CRANBERRIES","cognac"
"CRANBERRIES","cream"
"CRANBERRIES","cream cheese"
"CRANBERRIES","currants"
"CRANBERRIES","ginger"
"CRANBERRIES","hazelnuts"
"CRANBERRIES","honey"
"CRANBERRIES","LEMON: JUICE, ZEST"
"CRANBERRIES","lime, zest"
"CRANBERRIES","liqueur, orange (e.g., Grand Marnier)"
"CRANBERRIES","maple syrup"
"CRANBERRIES","nuts"
"CRANBERRIES","oats"
"CRANBERRIES","ORANGE: juice, zest"
"CRANBERRIES","peaches"
"CRANBERRIES","pears"
"CRANBERRIES","pepper"
"CRANBERRIES","pistachios"
"CRANBERRIES","pork"
"CRANBERRIES","poultry"
"CRANBERRIES","pumpkin"
"CRANBERRIES","raisins"
"CRANBERRIES","quince"
"CRANBERRIES","salt"
"CRANBERRIES","star anise"
"CRANBERRIES","SUGAR: brown, white"
"CRANBERRIES","sweet potatoes"
"CRANBERRIES","tangerines"
"CRANBERRIES","thyme"
"CRANBERRIES","turkey"
"CRANBERRIES","vanilla"
"CRANBERRIES","walnuts"
"CRANBERRIES","wine, white"
"CRAYFISH","AKA:crawfish"
"CRAYFISH","Season: spring"
"CRAYFISH","Weight: light–medium"
"CRAYFISH","Volume: moderate"
"CRAYFISH","Techniques: boil, broil, steam"
"CRAYFISH","asparagus"
"CRAYFISH","avocados"
"CRAYFISH","bacon"
"CRAYFISH","basil"
"CRAYFISH","bay leaf"
"CRAYFISH","butter"
"CRAYFISH","Cajun cuisine"
"CRAYFISH","carrots and carrot juice"
"CRAYFISH","cayenne"
"CRAYFISH","celery"
"CRAYFISH","chervil"
"CRAYFISH","chives"
"CRAYFISH","cloves"
"CRAYFISH","coriander"
"CRAYFISH","cream / milk"
"CRAYFISH","Creole cuisine"
"CRAYFISH","dill"
"CRAYFISH","egg yolks"
"CRAYFISH","endive"
"CRAYFISH","fennel seeds"
"CRAYFISH","garlic"
"CRAYFISH","hazelnuts"
"CRAYFISH","leeks"
"CRAYFISH","mango"
"CRAYFISH","mayonnaise"
"CRAYFISH","mirepoix"
"CRAYFISH","mushrooms, morels"
"CRAYFISH","mustard"
"CRAYFISH","oil, grapeseed"
